text,Sentimen,Lokasi
ketidaktahuan bodoh ketum pbnu yahya maaf aktivis temui presiden israel ketidaktahuan,Netral, KARANGANYAR
pbnu malu oknum kegiatan kunjungan pribadi mewakili also pbnu bertemu netanyahu,Negatif,KOTA PADANGSIDIMPUAN
pbnu perkumpulan bangsat nambang uang,Negatif, WONOSOBO
bang udah baang,Netral, BIREUEN
beda ente ketua pbnu,Negatif,KOTA MEDAN
mobilisasi apanya justeru bentuk kekecewaan tindakan orang orang pbnu mengaku filsuf agamawan tindakannya blunder dinilai berkhianat thdp dukungan rakyat indonesia dunia warga gaza palestina dizholimi,Negatif, PASURUAN
kawan menghilang arena,Positif, KUNINGAN
ketua pbnu yahya cholil staquf yahya maaf terkait orang nahdliyin bertemu presiden israel isaac herzog memahami pertemuan yahya selasa gedung pbnu jalan kramat raya nomor,Netral, LUMAJANG
yahya akui temui perdana menteri israel catut nama pbnu,Negatif,KOTA BIMA
kalo salah omong bilang guyonan kyai guyonan tingkat pbnu unik,Negatif,KOTA GUNUNGSITOLI
pbnu bersandiwara,Positif, ACEH BESAR
muda contoh seniornya silaturahim israel ketum pbnu mknya silaturahmi israel tumpukan mayat darah saudaranya bentuk pembuktian setia layak antek setia,Negatif, PEKALONGAN
kalo umur kena rujak netizen kalo udah umur ketum pbnu bener gitu,Negatif, MUKOMUKO
kelompok suka bersuara nkri harga mati berubah israel harga mati mengolok ngolok boikot israel ketua pbnu anak mudanya antek yahudi,Negatif, KERINCI
yahya israel ketemu israel netanyahu posisi yahya katib pbnu,Netral, LOMBOK UTARA
ketua pbnu tuuuh disidang,Positif, KEPULAUAN ANAMBAS
anggota ngeles pbnu,Netral, ACEH TIMUR
free palestine from hamas pbnu klarifikasi kalo mewakili nggk cerdas,Negatif, PELALAWAN
bubarkan pbnu orang warga tetep hidup eksistensi struktural,Negatif, TEMANGGUNG
syiah sufi udah masuk pbnu tololnya sibuk ngurusin salafi,Negatif, TRENGGALEK
emang gitu pecat langsung pbnu ketegasan integritas cuman khawatir nama doang beneran menentang genosida israhell,Negatif, MANDAILING NATAL
pesan pemimpin muda islam dunia pbnu qodari,Negatif, GRESIK
ketum pbnu halus licik coba mencari alasan pembenar kesalahan fatal anggota pbnu jejaring zionis merasuk ketum pbnu yahya maaf aktivis temui presiden israel ketidaktahuan,Negatif, PAMEKASAN
pbnu prnh manfaatnya umat boro boro palestina,Negatif, MUSI BANYUASIN
liat klarifikasi pbnu kemaren ketemu presiden israel alesannya anak anak gampang terhasut beuhh ngakak bangett dibelain segitunya salah pelakunya dosen intelektual mikir,Negatif, KARANGANYAR
pemerintah dukung kemerdekaan palestina pbnu sanksi nahdliyin bertemu presiden israel,Negatif, NIAS
memburukkan logikanya pbnu,Positif, BATANG HARI
pbnu buka peluang sanksi kader temui presiden israel,Netral, BANJARNEGARA
perasaan nahdliyyin saudara dibantai israel petinggi bergandengan zionis israel israel menjajah bangsa palestina pantaskah muslim indonesia bergandengan israel penjajah,Negatif,KOTA PADANGSIDIMPUAN
menemani kiyai sepuh didampingi pengurus eselon pbnu nunggu ruang tamu dikemudian menemui enak badan milih milih tamu,Negatif,KOTA SAWAH LUNTO
orang diundang yahudi israel kader pengurus pbnu berkilah,Negatif, GUNUNG KIDUL
susah pendahulunya ketua pbnu nggumun ngunu,Positif, LAMPUNG TENGAH
pbnu maaf kunjungan ketemu presiden israel narasi global pencitraan israel runtuh dunia tersadarkan zionisme,Negatif, BENGKULU SELATAN
silahkanmenghujat pbnu orang brengsek generalisir lahir keluarga turunan struktural,Netral, PENUKAL ABAB LEMATANG ILIR
geram pbnu dicatut organisasi rahim yahya take down,Netral, CIANJUR
pengurus pbnu sibuk klrifikasi nitizen membuka file jejak digital kejam hehehe,Negatif, LEBAK
ketum pbnuâ yahya cholil staquf orang nahdliyin bertemu presiden israelâ isaac herzog disponsori advokat terafiliasi israel penjelasannya faseh banget orang indonesia nyelonong israel pengalaman yahya,Netral,KOTA DEPOK
clear mengatasnamakan,Netral, SUMBAWA BARAT
ketua terlibat nggak,Positif,KOTA JAMBI
tubuh pbnu oknum islam munafikbalik indonesia maafkan hukum seberat nyajangan kasih ampun oknum penghianat islam,Negatif, BIMA
pbnu keberangkatan kadernya israel,Positif, SUKOHARJO
king rodrigo butuh validasi angk aneh banget,Negatif, SIMALUNGUN
ayooo pembela sebelumny ketua pbnu ktrmu benjamin setanyahok bukti video tweet setanyahok msih truus,Negatif, MUARO JAMBI
