full_text,Sentimen
Gus Yahya Saya juga Pernah ke Israel tapi Atas Nama Pribadi Tidak Bawa NU,Positif
dan mereka cuma sekedar mencontoh para ketua pbnu yg keblinger duluan,Netral
gue ga tau sistem kaderisasi di NU gimana tapi bisa ga sih keanggotaan mereka dicabut kalo emang tanpa sepengetahuan PBNU harusnya PBNU klarifikasi dong ini bukan waktunya diam justru diam memperjelas keberpihakan,Negatif
Berarti Lo perfahaman Nasrani dong  Kenapa lah PBNU memilih ketua berfahaman Nasrani apa dlm tubuh NU tak ada orang yg benar2 memperjuang kan NU macam pendahulu2 sebelum ini miris sekali NU sekarang,Negatif
Jika 5Ekor babi itu tdk dilaporkan dan tdk ditangkap tdk dipenjarakan artinya PBNU Lempar batu sembunyi tangan Ky gak tau siapa Staquf kan jongos kacung Israel,Negatif
diss to PBNU,Negatif
mungkin Banser dan ansornya ajah tak ada guna ini NI jdi rusak karena NU dimasuki virus liberal lah ketum PBNU dan adiknya ajah dedengkotnya liberal alias antek zionis yahudi juga,Negatif
Ketua PBNU saja mengakui dan minta maaf atas ulah 5 orang warganya itu Tapi sebagian anak NU masih berusaha lari2 dari masalah dan menuduh pihak lain sengaja mengolah isu ini untuk memusuhi NU Telek,Negatif
tapi tapii ketua PBNU nya sama aja gitu ya Allah kiyai Hasyim,Netral
LBM PBNU secara resmi berpartner dengan Mereka itu pengurus organisasi lobi zionis berkedok kerukunan antar agama Strategi klasik zionis untuk merekrut pengkhianat dari kalangan muslim personal di dalamnya adalah cek,Negatif
masih pagii udah pada ributin wahabi PBNU musuh NU mending gw liat film aja deh,Netral
Kl pinter emang iya mau jadi kecoak israel,Negatif
Kl loe pinter setidaknya kg usah berargumrntasi ndag cuman nyeroscos kg jelas belain kecoak2 dr yg nemui junjungan,Negatif
Musuh umat islamisrael yahudi pembantai umat islam di palestina tegur trs bawa ke ranah hukum biar PBNU ga trs di sudutkan,Negatif
Kapan Muktamar Luar Biasa dilaksanakan Agar - Pecat semua pengurus PBNU - Kembali ke khittah Kl byk yg diam bisa dianggap membiarkan bahkan membenarkan gk sih,Netral
Ketua Umum Pengurus Besar Nahdlatul Ulama PBNU Yahya Cholil Staquf atau Gus Yahya mengatakan ada organsiasi yang mengajak lima kader NU untuk bertemu Presiden Israel Isaac Herzog,Netral
Baru tau saya kalau PBNU ternyata ingin bersahabat dengan Israel,Netral
Makanya segera agendakan Muktamar Luar Biasa - Pecat semua pengurus PBNU - Kembali ke khittah Kl byk yg diam bisa dianggap membiarkan bahkan membenarkan gk sih,Positif
PBNU nya bang,Netral
Jokowi Respons Warga NU Temui Presiden Israel Isaac Herzog dan PBNU Minta Maaf BACA SELENGKAPNYA DISINI,Netral
Atas izin PBNU innalillahi sudah mati marwah NU yg sebenarnya,Positif
untuk kembalilah ke jalan yang benar sebelum jatuh hukum karman-Nya,Positif
Isi Permintaan Maaf PBNU Terkait Lima Nahdliyin Bertemu Presiden Israel Viral di Media Sosial Gus Yahya Ini Tidak Patut,Netral
Makanya segera agendakan Muktamar Luar Biasa - Pecat semua pengurus PBNU - Kembali ke khittah dulu,Positif
Saya yg berkultur NU tapi bukan NU semakin merasa NU itu menjadi buta  Apa yg dipertontonkan PBNU mulai dari jaman Gusdur sampai sekarang lambat laun membuat NU=PBNU apapun pembelaan yg mengaku NU tapi gak setuju dengan yg disebut sbgai oknum,Negatif
PKB soal PBNU Sanksi 5 Kader Terkait Israel Publik Tahu Akan Nilai,Netral
Ketua Umum Pengurus Besar Nahdlatul Ulama PBNU Yahya Cholil Staquf menilai tindakan kelima orang NU yang melakukan hubungan dengan Israel tidak patut,Netral
Ketum PBNU Ungkap Gerakan Lobi-lobi Israel di Indonesia,Netral
PBB aja dibilang hoax sama orang-orang tolol lokal yg islamphobia pokoknya yg real cuma Abu Janda aja sama pengurus PBNU infonya,Negatif
Otak buthek bin dangkal,Negatif
Ditanyakan saja ke PBNU Karena sikap pemerintah itu jelas sesuai pembukaan UUD 1945 Jelas sekali Jadi tolong ditanyakan ke PBNU kata Jokowi,Negatif
Supoyo panas gawe twit seng ngancam2 PBNU koyo wingi Sam Mesti panas tur rame Nek kata² mutiara biasane ga pati onok seng komen,Positif
Lima tokoh muda NU akan diusut oleh PBNU saya rasa hanya untuk menenangkan gejolak di masyarakat karena mustahil 5 tokoh muda itu bergerak atas inisiatif mereka sendiri tanpa ada koordinasi terlebih dahulu dengan PBNU,Netral
Kalo mereka memang mencatut nama NU harusnya dipenjarakan Kalo ketua penuh malah membela mereka dg alasan blm cukup umur maafkanlah artinya pbnu merestui,Positif
KALAU KADER SEPERTI INI TIDAK DIPECAT MEMANG MEREKA BERANGKAT SEPENGETAHUAN PENGURUS PBNU,Positif
Jawabannya setiap Pejabat PBNU ngawur dan nyeleneh beda beda semuahahahaha,Negatif
Tol Laut Pelni Tak Sekadar Turunkan Biaya Logistik Yati Onad Pagii PBNU Samsung A35 Muhammadiyah,Negatif
PBNU gapeduli mba mereka lebih peduli CITRA NU yg dirusak,Positif
Yg perlu lu tanyain tuh PBNU nya ini kejadian kader NU kesana bukan sekali loh Dongok lu,Negatif
Pertama sepatutnya saya mohon maaf kepada masyarakat luas seluruhnya Bahwa ada beberapa orang dari kalangan Nahdlatul Ulama yang tempo hari pergi ke Israel melakukan engagement di sana ujar Ketua Umum Pengurus Besar Nahdlatul Ulama PBNU Yahya Cholil Staquf,Negatif
KECOAK KECOAK PERUSAK NAMA BESAR PBNU,Negatif
Gimana ini guusss gusss PBNU perlu evaluasi total mulai dari nilai-nilai luhur tujuan organisasi nilai moril hingga level tata kelola manajemen Jangan sampai kebodohan pengurus menyakiti Nahdliyyin garis lurus Dan akhirnya musuh NU bersorak gembira,Netral
Kalau lu pinter setidaknya mau beradu argumentasi gak cuman nyocot gak jelas menyedihkan sekali hidupmu cil,Positif
Jelas ini namanya mata-mata asing kok dibiarkan negara bahkan ketua PBNU mengatakan dulu dirinya ke Israel untuk urusan pribadi Jadi kurang jelas apalagi ini namanya Kalau di negara lain pasti sudah diamankan oleh intelijen negara yang seperti ini Di Wakanda kok dibiarin,Positif
Ketua PBNU aja minta maaf karena yg dilakukan kadernya salah kok bisa orang luar NU muji dan bilang cerdas,Positif
Ketum PBNU Tegaskan Organisasi RAHIM untuk Lepas Logo NU lewat News,Netral
Dari dulu NU pro israel Mantan ketua umum PBNU saja ketika jd presiden wacanakan membuka diplomasi dg israel dan ikut yayasan shimon peres,Netral
baiknya ngurus tambang saja  yang urus NU lebih manthabb PBNU menyampaikan permintaan maaf usai Nahdliyin temui Presiden Israel Isaac Herzog PBNU juga mengungkap dalang di balik terjadinya pertemuan,Positif
Mungkin itu bedanya om NU itu ada kultural dan ada struktural yang kultural ini kadang gak peduli ama struktural Makanya meski yang ngaku NU puluhan juta pemilih PKB gak sebanyak itu Kakek gw ngaku NU tapi kalau ditanya ketua PBNU siapa bel,Netral
Disisi lain segelintir orang dari organisasi keIslaman di Indonesia ketawa ketiwi bersama pemimpin pembunuh Netanyahu United PBNU,Negatif
ketua PBNU yg ini berbeda dgn ketua² terdahulu,Netral
Ketum PBNU Minta Maaf Terkait 5 Nahdliyin Bertemu Presiden Israel,Netrla
Dulu pak Yahya jg pernah kan ke Israel Mungkin mereka yg ke Israel minta dukungan biar bs terpilih jd Ketum PBNU spt pak Yahya Who knows,Netral
Jangan cuma omdo mereka tercatat org NU dan punya attribute lengkap NU kalau emang gentle proses hukum secepatnya Yakin NU/ PBNU punya keberanian,Netral
ketua PBNU saat ini berbeda dgn ketua²nya terdahulu yg kharismatik dan di segani,Netral
Pribadi kenapa pas jadi ketua PBNU apa masih kurang subsidi dari pemerintah,Negatif
Ketua PBNU Minta Maaf Ungkap Dalang yang Ajak 5 Pengurus NU Bertemu Presiden Israel,Netral
PBNU Beri Sanksi ke 5 Anggotanya yang Bertemu Presiden Israel,Netral
Yahya Tegaskan Semua Kerja Sama Internasional NU Mesti Diketahui PBNU,Netral
PBNU selama ini blm pernah ada manfaat buat umat kecuali buat yg ingin menjabat,Negatif
Propaganda israel terus gencar seakan akan tindakan merampas tanah rakyat Palestina benar dan yg melawan disebut teroris Mereka mencari yg mudah dipengaruhi dibayar dan dikasih daging/tulang lalu jadilah buzzerp yg siap endorse Rafah PBNU,Negatif
Kok bisa ya jadi ketua PBNU dg Allah SWT saja tidak takut nauzubillahminjalik,Positif
Bubarkan PBNU atau pecat Yahya Mana yg lebih baik,Negatif
Bah Manusia kera ketemu manusia terkutuk dari Indonesia Siapa yg mengkader 5 org hewan terkutuk itu utk ketemu presiden manusia kera Ya pastilah manusia terkutuk ketua Nyetayahu United,Negatif
Hai PBNU 5 Kera Cendikiawan Kalian Benar2 Pengkhianat Konstitusi NKRI NIR EMPATI Terhadap Penderitaan Rakyat Palestina Dengan Sombongnya Kera2 Cendikiawan Kalian Bersahabat Dengan Penjajah Zionist Laknatullah Muhammadiyah Musuh NU,Negatif
Ketua Umum Pengurus Besar Nahdaltul Ulama PBNU Yahya Cholil Staquf menyampaikan permohonan maaf atas tindakan lima orang aktivis NU yang bertemu dengan Presiden Israel Isaac Herzog Pertemuan tsb diabadikan dalam sebuah Foto dan menjadi viral pada Minggu 14/07 Pertemuan lima,Netral
Tanpa mandat PBNU mana bisa mereka ke negeri Netanyahu,Negatif
Ketum pbnu paling parah dalam sejarah NU penghianat negara dan umat,Negatif
Halo ada jejak digital nih,Negatif
Katanya ke 5 orang Itu pergi tidak atas sepengetahuan PBNU sehingga mereka tidak mewakili organisasi PBNU  Kenapa sekarang yg minta maaf Ketua PBNU nya  Ini jadi tidak konsisten dgn pernyataan PBNU sebelumnya Sepertinya untuk menutup ses,Negatif
Netanyahu United Itu milik PBNU Atau Nu cabang israel,Negatif
Grafik Tingkat Kepercayaan Nahdiyin Akar rumput ke pengurus besar ex-Ketua PWNU jatim dukung paslon no1 = langsung pecat 5 orng akatsuki ke Israhell bawa NU bawa Indonesia = Sanksinya abu blm lg mslh kabib pemalsu sejarah/makam dr PBNU tdk ada tindakan,Negatif
Ketua Umum PBNU KH Yahya Cholil Staquf memohon maaf dan memohonkan maaf atas lima warga NU yang bertemu Presiden Israel Isaac,Netral
Bukan NU bang tp pengurus PBNU,Netral
Tak habis-habis upaya mereka untuk memperburukkan pahaman Islam Nusantara yang moderat-progresif dengan tetap mempertahankan akar tradisi berzaman yang baik yang dibawa Gus Dur sejak jadi Ketua PBNU Setiap ada momen kelemahan,Netral
Masalah sebenarnya tidak ada sikap tegas terhadap Israel dari PBNU secara RESMI Dukung Two State Solution itu jelas sikap negara Tapi ketegasan NU terhadap kejahatan kemanusiaan itu sangat dibutuhkan saat ini Berani/gak Jangan cuma berani menyalahkan anak2 mudanya,Negatif
Jujur meskipun ak nakal tp ak lht kalian tmbh makin benci bgt gk mikir ank2 palestine dibasmi kyk gini anggota pbnu najisssssss,Negatif
Yang jelas jelas terbukti ya melalui ketua PBNU nya nauzubillahminjalik,Negatif
PBNU Minta Maaf Atas Lawatan Lima Nahdliyin ke Israel,Netral
Seharus penyataan nya gak cuman menjelaskan tanpa sepengetahuan NU tolong dijelaskan motif mereka kesana dan tindakan apa yang PBNU lakukan Kalau memang kejadian ini penting harusnya tindak cepat gak usah bertele-tele,Negatif
Di PBNU sekarang banyak Org2 gak layak karena Org2 nya Yahya Sipul dan Yaqut ya masuklah dlm Kepengurusan jadi nya ya jualan sana sini Astagfirullah,Negatif
Halah sok cuci tangan Lawong yg sekarang jadi PBNU aja dulu suka ke sana,Negatif
Walau gak mengatasi naskah NU lha saiki ketua PBNU aneh,Negatif
tapi iki Penghianat jelas jelas eh malah cari kambing hitam banyolan PBNU,Negatif
Sebaiknya NU introspeksi diri siapa tahu ini teguran dari Yg Maha Kuasa krn NU nampak terlalu berpikir al-Duny contoh masalah NU minat mengelola tambang padahal agama lain menolak jd ini harusnya jd bahan koreksi PBNUjangan terlalu men,Negatif
Please untuk warga NU saatnya anda bergerak PBNU perlu restrukturisasi besar besaran Liberal antek zionis buzzeRp munafiqun udah masuk Saatnya yang bagian akar berkumpul dan mengarahkan kembali sesuai visi misi demi kemaslahatan umat,Negatif
Sampean kritik iku salah sasaran Aku iki yo podo karo awakmu Dadi wong cilik seng kebetulan gawe akun garis lucu La lapo takon israel barang Wes gamblang iku penjajah Aku yo ra budal mrono lapo mbok takoi Luru tanggapan iku yo teko PB,Negatif
Jualan tambang d israeldk usah resek pbnu semua demi lo,Negatif
Penghianat memang sama kek bangke Abu Janda PBNU,Negatif
Ya klo Ketua PBNU gak ijinkan mana mungkin bisa berangkat,Netral
ambil tindakan bukan nya klarifikasi sana sini katanya ormas muslim terbesar ada saudara muslim terbantai disana ehh ini senyum cengar cengir sama pelaku pembantaian tidak memakili PBNU tapi itu orang2nya NU kan tetap aja pasti bawa nama,Negatif
PBNU di Pimpin Gus Dur KH Hasyim Muzadi KH Said Aqil Sirodj dan GP Ansor di Pimpin Slamet Efendi Yusuf gak gini2 amat sekarang kerusakan nya sdh akut dan PBNU jadi Pasar Sapi hrs segera dilakukan pergantian menyeluruh dg menampilkan Kyai2 yg,Netral
Rencana mereka secara TSM Anehnya PBNU mingkem Sangt miris warga Yaman kok bs mengacak² bangsa Indonesia yg sangt brdaulat Pdhal Yaman saat ini sdang kacau prang sodara &amp; kemiskinn melanda Semntara mrk ongkang² di Indonesia menkmati hsl kelicikn mrk mmbodohi warga Indonesia,Negatif
Efek 5 Tokoh Muda Nahdliyin Logo PBNU Jadi Netanyahu United Ungkapan Warganet Kecewa Astaghfirullah NU Gini Amat,Negatif
Belum cukup umur kata ketua PBNU juga hehe,Negatif
Parahnyasetelah itu jadi ketua PBNU,Negatif
Hanya mohon maaf Belum cukup mundur dari jabatan ketua PBNU lebih tepat krn kejadian memalukan &amp; nir-otak yg dilakukan anggotanya terjadi di bawah kepemimpinan dia dia gagal jd ketua yg amanah,Negatif
PBNU maksudnya Gus Dur aja menerima medal of valor dari yayasan dari Israel dicium-cium segala medalinya,Negatif
Wegah wong seng komen PBNU wae jek pancet begidak,Negatif
Itu sudah diklarifikasi mrk ga seoengetahuan pbnu Jangan gebyah uyah,Netral
Ketua PBNU juga sekalian dipanggilsoalnya dia yang ketemu juga sama isriwil,Netral
Udah kabur dia bang emng kocak si tolol,Negatif
Lu cuma nyocot ormas lu ke israel kocak dasar sdm rendah,Negatif
Ormas lu yg gk jelas tolol,Negatif
Mayan dapat tambang Pancen asu,Negatif
Norakdah baca berita resmi dari PBNU belumcerdas dikit napa,Negatif
Gini lo kang kalau memang mau mewakili NU setidaknya ada komunikasi dg PBNU dan waktunya masih terlalu sensitif untuk melakukan hal semacam itu Aku yo kader IPNU KMNU ANSOR tapi yo kalau mengatas namakan NU yo kudu ada RESTU Bukan asal berangkat,Negatif
Dan PBNU bukan kultur NU-nya sepertinya harus mulai dijauhi sejauh-jauhnya Dah terlalu jauh mereka itu salah jalan,Negatif
Petinggi NU pergi tanpa sepengetahuan PBNU Alasan macam apa ini Kalau memang iya silahkan hukum orang-orang itu Berani gak Jangan cuma ditegur basi,Netral
Bosan juga membaca dalih dari PBNU,Netral
Semua musuh PBNU pasti tololl,Negatif
PBNU = Penghianat Bangsa No Ukhuwah,Negatif
Kenapa takut rusak Sebelum ini ketua umum PBNU jg pernah bertemu para pejabat Israel Tenang aja anggap aja piknik gratis,Negatif
Ketua Umum PBNU Tegaskan Pertemuan Lima Tokoh NU dengan Presiden Israel Tidak Terkait Lembaga,Netral
