conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.81338E+18,Wed Jul 17 01:23:07 +0000 2024,4,Gus Yahya: Saya juga Pernah ke Israel tapi Atas Nama Pribadi Tidak Bawa NU | #PBNU #GusYahya #Israel https://t.co/xrLw9atSM7,1.81338E+18,https://pbs.twimg.com/media/GSpu4XNbEAA-8TT.jpg,,in,Jakarta,0,3,3,https://x.com/kompascom/status/1813383900716241397,23343960,kompascom
1.81321E+18,Wed Jul 17 01:22:13 +0000 2024,0,@geloraco dan mereka cuma sekedar mencontoh para ketua pbnu yg keblinger duluan,1.81338E+18,,geloraco,in,,0,0,0,https://x.com/Irawan15758608/status/1813383673120694615,1.19085E+18,Irawan15758608
1.81338E+18,Wed Jul 17 01:22:11 +0000 2024,1,gue ga tau sistem kaderisasi di NU gimana tapi bisa ga sih keanggotaan mereka dicabut? kalo emang tanpa sepengetahuan PBNU harusnya PBNU klarifikasi dong ini bukan waktunya diam justru diam memperjelas keberpihakan,1.81338E+18,,,in,rollercoaster,0,0,0,https://x.com/leisbedumb/status/1813383664220430387,1.14515E+18,leisbedumb
1.81333E+18,Wed Jul 17 01:19:24 +0000 2024,0,@NovalAssegaf Berarti Lo perfahaman Nasrani dong ? Kenapa lah PBNU memilih ketua berfahaman Nasrani apa dlm tubuh NU tak ada orang yg benar2 memperjuang kan NU macam pendahulu2 sebelum ini miris sekali NU sekarang .,1.81338E+18,,NovalAssegaf,in,,0,0,0,https://x.com/RazaliMuha83171/status/1813382965415825662,1.68491E+18,RazaliMuha83171
1.81338E+18,Wed Jul 17 01:17:36 +0000 2024,0,Ketua Umum PBNU Yahya Cholil Staquf alias Gus Yahya mengatakan pihak yang mengundang lima orang Nahdliyin untuk bertemu Presiden Israel yakni lembaga swadaya masyarakat (LSM) advokat. Gus Yahya menyebut lembaga bidang hukum itu terafiliasi dengan Israel. Menurut keterangan https://t.co/wO1VJfvdcE,1.81338E+18,https://pbs.twimg.com/media/GSptyEba8AAYGHf.jpg,,in,Jakarta Capital Region,0,1,0,https://x.com/akuratco/status/1813382513391436278,7.86549E+17,akuratco
1.81323E+18,Wed Jul 17 01:15:51 +0000 2024,3,@nu_online LBM PBNU secara resmi berpartner dengan https://t.co/9EwwfV2i9m https://t.co/49fq4CpugY,1.81338E+18,https://pbs.twimg.com/media/GSptYiQasAAaynL.jpg,nu_online,in,"Hlavní město Praha, Česká repu",1,1,1,https://x.com/_deedejavu_/status/1813382073400602969,1.43195E+18,_deedejavu_
1.81338E+18,Wed Jul 17 01:15:12 +0000 2024,0,Wilayah terdampak banjir meliputi Desa Uraso di Kecamatan Mappideceng. Kelurahan Bone-bone Desa Patila dan Patoloan di Kecamatan Bone-Bone. Desa Bungadidi di Kecamatan Tana Lili dan Kecamatan Sukamaju. https://t.co/KvDcjkyzBh # FIFA GBLA Enzo PBNU Onad,1.81338E+18,,,in,,0,0,0,https://x.com/idngallery/status/1813381908463808812,1.2972E+18,idngallery
1.81302E+18,Wed Jul 17 01:14:10 +0000 2024,0,@tvOneNews Jika 5Ekor babi itu tdk dilaporkan dan tdk ditangkap tdk dipenjarakan artinya PBNU Lempar batu sembunyi tangan!!! Ky gak tau siapa Staquf kan jongos kacung Israel !!! https://t.co/aQsO8tfmhl,1.81338E+18,https://pbs.twimg.com/media/GSps46LaMAAXfjj.jpg,tvOneNews,in,,0,0,0,https://x.com/J3nderalo/status/1813381646495932731,4118138532,J3nderalo
1.81338E+18,Wed Jul 17 01:13:08 +0000 2024,0,diss to PBNU ,1.81338E+18,,allureindigo,in,nothing,0,0,0,https://x.com/allureindigo/status/1813381386906329586,1.38731E+18,allureindigo
1.81338E+18,Wed Jul 17 01:13:02 +0000 2024,0,Ketua @KPU_ID ganteng? Gmn . @UnsoedOfficial @UGMYogyakarta @undip @bansernusantar1 @Official_Ansor @PBNU_164 @nu_online https://t.co/KXwFqmoebZ,1.81338E+18,,,in,jl H Kamang Pd Labu Jakarta Se,0,0,0,https://x.com/Martinluth91/status/1813381360889008427,1.47478E+18,Martinluth91
1.81325E+18,Wed Jul 17 01:12:24 +0000 2024,0,@vanc1Bozz @nahdlatululama @jokowi mungkin Banser dan ansornya ajah tak ada guna ini NI jdi rusak karena NU dimasuki virus liberal lah ketum PBNU dan adiknya ajah dedengkotnya liberal alias antek zionis yahudi juga,1.81338E+18,,vanc1Bozz,in,,0,0,0,https://x.com/Jojo85588161/status/1813381205129343239,1.08502E+18,Jojo85588161
1.81338E+18,Wed Jul 17 01:11:14 +0000 2024,25,Ketua PBNU saja mengakui dan minta maaf atas ulah 5 orang warganya itu. Tapi sebagian anak NU masih berusaha lari2 dari masalah dan menuduh pihak lain sengaja mengolah isu ini untuk memusuhi NU. Telek.,1.81338E+18,,,in,,0,2,10,https://x.com/pemudaidamanid/status/1813380909401567513,1.65354E+18,pemudaidamanid
1.81323E+18,Wed Jul 17 01:11:10 +0000 2024,0,@AzzuhriRahmah tapi tapii ketua PBNU nya sama aja gitu. ya Allah kiyai Hasyim....,1.81338E+18,,AzzuhriRahmah,in,Indonesia,0,1,0,https://x.com/species_manusia/status/1813380894885130245,1.12011E+18,species_manusia
1.81323E+18,Wed Jul 17 01:09:55 +0000 2024,0,@nu_online LBM PBNU secara resmi berpartner dengan Mereka itu pengurus organisasi lobi zionis berkedok kerukunan antar agama (https://t.co/9EwwfV2i9m). Strategi klasik zionis untuk merekrut pengkhianat dari kalangan muslim. personal di dalamnya adalah cek,1.81338E+18,,nu_online,in,"Hlavní město Praha, Česká repu",0,0,0,https://x.com/_deedejavu_/status/1813380578605187442,1.43195E+18,_deedejavu_
1.81338E+18,Wed Jul 17 01:09:44 +0000 2024,0,masih pagii udah pada ributin wahabi PBNU musuh NU mending gw liat film aja deh,1.81338E+18,,,in,,0,0,0,https://x.com/AkunsayaFilm/status/1813380532295925988,1.78568E+18,AkunsayaFilm
1.81281E+18,Wed Jul 17 01:09:11 +0000 2024,0,@AlAlghazza @Arivrahmanovic @Generasi_MudaNU @muhammadiyah @PBNU_164 Kl pinter emang iya mau jadi kecoak israel ???,1.81338E+18,,AlAlghazza,in,,0,1,0,https://x.com/slump_76/status/1813380392566784246,1.68732E+18,slump_76
1.81281E+18,Wed Jul 17 01:08:15 +0000 2024,0,@Arivrahmanovic @benkbenkkkkk @Zeent29 @Generasi_MudaNU @muhammadiyah @PBNU_164 Kl loe pinter setidaknya kg usah berargumrntasi ndag cuman nyeroscos kg jelas belain kecoak2 dr @PBNU_164 @PBNU1926 @NUgarislucu @Generasi_MudaNU @nu_online yg nemui junjungan,1.81338E+18,,Arivrahmanovic,in,,0,0,0,https://x.com/slump_76/status/1813380160516989384,1.68732E+18,slump_76
1.81281E+18,Wed Jul 17 01:04:54 +0000 2024,0,@Generasi_MudaNU Musuh umat islam.israel yahudi pembantai umat islam di palestina ..tegur trs bawa ke ranah hukum biar PBNU ga trs di sudutkan,1.81338E+18,,Generasi_MudaNU,in,,0,0,0,https://x.com/TunggaraBu92503/status/1813379315461144579,1.76091E+18,TunggaraBu92503
1.81312E+18,Wed Jul 17 01:03:35 +0000 2024,0,@nu_online Kapan Muktamar Luar Biasa dilaksanakan? Agar - Pecat semua pengurus PBNU - Kembali ke khittah Kl byk yg diam bisa dianggap membiarkan (bahkan membenarkan) gk sih!?,1.81338E+18,,nu_online,in,,0,0,0,https://x.com/rizz450/status/1813378986170572836,1.68821E+18,rizz450
1.81338E+18,Wed Jul 17 01:03:15 +0000 2024,0,Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Yahya Cholil Staquf atau Gus Yahya mengatakan ada organsiasi yang mengajak lima kader NU untuk bertemu Presiden Israel Isaac Herzog. | #PBNU #Israel #IsaacHerzog https://t.co/U3lAjc25oB,1.81338E+18,https://pbs.twimg.com/media/GSpqMmoacAArhlM.jpg,,in,Jakarta,0,2,0,https://x.com/kompascom/status/1813378902636785687,23343960,kompascom
