"full_text";"location";"username"
"Gus Yahya: Saya juga Pernah ke Israel tapi Atas Nama Pribadi Tidak Bawa NU | ";;
"@geloraco dan mereka cuma sekedar mencontoh para ketua pbnu yg keblinger duluan";;"Irawan15758608"
"gue ga tau sistem kaderisasi di NU gimana tapi bisa ga sih keanggotaan mereka dicabut? kalo emang tanpa sepengetahuan PBNU harusnya PBNU klarifikasi dong ini bukan waktunya diam justru diam memperjelas keberpihakan";"rollercoaster";"leisbedumb"
"@NovalAssegaf Berarti Lo perfahaman Nasrani dong ? Kenapa lah PBNU memilih ketua berfahaman Nasrani apa dlm tubuh NU tak ada orang yg benar2 memperjuang kan NU macam pendahulu2 sebelum ini miris sekali NU sekarang .";;"RazaliMuha83171"
"Ketua Umum PBNU Yahya Cholil Staquf alias Gus Yahya mengatakan pihak yang mengundang lima orang Nahdliyin untuk bertemu Presiden Israel yakni lembaga swadaya masyarakat (LSM) advokat. Gus Yahya menyebut lembaga bidang hukum itu terafiliasi dengan Israel. Menurut keterangan https://t.co/wO1VJfvdcE";"Jakarta Capital Region";"akuratco"
"@nu_online LBM PBNU secara resmi berpartner dengan https://t.co/9EwwfV2i9m https://t.co/49fq4CpugY";"Hlavní město Praha, Česká repu";"_deedejavu_"
"Wilayah terdampak banjir meliputi Desa Uraso di Kecamatan Mappideceng. Kelurahan Bone-bone Desa Patila dan Patoloan di Kecamatan Bone-Bone. Desa Bungadidi di Kecamatan Tana Lili dan Kecamatan Sukamaju. https://t.co/KvDcjkyzBh ";;
"@tvOneNews Jika 5Ekor babi itu tdk dilaporkan dan tdk ditangkap tdk dipenjarakan artinya PBNU Lempar batu sembunyi tangan!!! Ky gak tau siapa Staquf kan jongos kacung Israel !!! https://t.co/aQsO8tfmhl";;"J3nderalo"
"diss to PBNU ";"nothing";"allureindigo"
"Ketua @KPU_ID ganteng? Gmn . @UnsoedOfficial @UGMYogyakarta @undip @bansernusantar1 @Official_Ansor @PBNU_164 @nu_online https://t.co/KXwFqmoebZ";"jl H Kamang Pd Labu Jakarta Se";"Martinluth91"
"@vanc1Bozz @nahdlatululama @jokowi mungkin Banser dan ansornya ajah tak ada guna ini NI jdi rusak karena NU dimasuki virus liberal lah ketum PBNU dan adiknya ajah dedengkotnya liberal alias antek zionis yahudi juga";;"Jojo85588161"
"Ketua PBNU saja mengakui dan minta maaf atas ulah 5 orang warganya itu. Tapi sebagian anak NU masih berusaha lari2 dari masalah dan menuduh pihak lain sengaja mengolah isu ini untuk memusuhi NU. Telek.";;"pemudaidamanid"
"@AzzuhriRahmah tapi tapii ketua PBNU nya sama aja gitu. ya Allah kiyai Hasyim....";"Indonesia";"species_manusia"
"@nu_online LBM PBNU secara resmi berpartner dengan Mereka itu pengurus organisasi lobi zionis berkedok kerukunan antar agama (https://t.co/9EwwfV2i9m). Strategi klasik zionis untuk merekrut pengkhianat dari kalangan muslim. personal di dalamnya adalah cek";"Hlavní město Praha, Česká repu";"_deedejavu_"
"masih pagii udah pada ributin wahabi PBNU musuh NU mending gw liat film aja deh";;"AkunsayaFilm"
"@AlAlghazza @Arivrahmanovic @Generasi_MudaNU @muhammadiyah @PBNU_164 Kl pinter emang iya mau jadi kecoak israel ???";;"slump_76"
"@Arivrahmanovic @benkbenkkkkk @Zeent29 @Generasi_MudaNU @muhammadiyah @PBNU_164 Kl loe pinter setidaknya kg usah berargumrntasi ndag cuman nyeroscos kg jelas belain kecoak2 dr @PBNU_164 @PBNU1926 @NUgarislucu @Generasi_MudaNU @nu_online yg nemui junjungan";;"slump_76"
"@Generasi_MudaNU Musuh umat islam.israel yahudi pembantai umat islam di palestina ..tegur trs bawa ke ranah hukum biar PBNU ga trs di sudutkan";;"TunggaraBu92503"
